Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
closed,1012,low,email,feature request,1st line support,kristos westoll,2023-01-02 00:58:36,2023-01-04 00:58:36,2023-01-02 01:58:36,2023-01-02 01:03:17.432,within sla,2023-01-04 00:31:51.694,within sla,2023-01-04 04:02:59.013,1.0,3.0,custom software development,tier 1,republic of ireland,53.094024,-8.019675
in progress,1013,high,phone,product setup,2nd line support,adolpho messingham,2023-01-02 07:27:25,2023-01-04 07:27:25,2023-01-02 07:29:25,2023-01-02 07:27:43.231,within sla,,sla violated,,3.0,,other,tier 2,italy,43.036776,12.678565
resolved,1014,low,chat,purchasing and invoicing,1st line support,bernard beckley,2023-01-02 06:59:04,2023-01-03 06:59:04,2023-01-02 07:01:04,2023-01-02 06:59:57.471,within sla,2023-01-02 22:45:32.974,within sla,2023-01-02 22:45:32.974,2.0,,custom software development,tier 1,austria,47.6964719,13.3457347
closed,1015,medium,email,pricing and licensing,1st line support,connor danielovitch,2023-01-03 03:09:39,2023-01-05 03:09:39,2023-01-03 04:09:39,2023-01-03 07:09:15.835,sla violated,2023-01-04 14:32:34.979,within sla,2023-01-08 04:24:54.771,10.0,4.0,ready to use software,tier 1,spain,39.67337,-4.767726
closed,1016,low,email,product setup,1st line support,kristos westoll,2023-01-03 00:03:58,2023-01-05 00:03:58,2023-01-03 01:03:58,2023-01-03 00:08:01.684,within sla,2023-01-04 12:03:05.986,within sla,2023-01-06 06:05:08.637,1.0,2.0,other,tier 1,austria,47.6964719,13.3457347
closed,1017,low,email,purchasing and invoicing,1st line support,sheela cutten,2023-01-03 14:25:42,2023-01-05 14:25:42,2023-01-03 15:25:42,2023-01-03 14:45:14.430,within sla,2023-01-04 01:55:56.533,within sla,2023-01-10 16:41:07.865,2.0,2.0,ready to use software,tier 1,greece,39.368279,21.863141
closed,1018,low,phone,product setup,1st line support,kristos westoll,2023-01-03 15:32:02,2023-01-05 15:32:02,2023-01-03 15:34:02,2023-01-03 15:34:00.278,within sla,2023-01-05 03:51:37.031,within sla,2023-01-07 21:52:35.202,2.0,3.0,ready to use software,tier 1,republic of ireland,53.094024,-8.019675
resolved,1019,medium,chat,pricing and licensing,2nd line support,michele whyatt,2023-01-03 00:38:48,2023-01-04 00:38:48,2023-01-03 00:40:48,2023-01-03 00:39:30.256,within sla,2023-01-05 12:47:55.793,sla violated,2023-01-05 12:47:55.793,2.0,,training and consulting services,tier 2,poland,52.536273,19.050639
resolved,1020,medium,chat,product setup,1st line support,kristos westoll,2023-01-03 09:37:54,2023-01-04 09:37:54,2023-01-03 09:39:54,2023-01-03 09:41:55.452,sla violated,2023-01-03 20:31:37.896,within sla,2023-01-03 20:31:37.896,6.0,,other,tier 1,germany,51.165691,10.451526
closed,1021,low,email,product setup,1st line support,bernard beckley,2023-01-03 09:27:35,2023-01-05 09:27:35,2023-01-03 10:27:35,2023-01-03 10:24:48.183,within sla,2023-01-04 10:16:32.492,within sla,2023-01-07 20:25:29.487,1.0,4.0,training and consulting services,tier 1,czech republic,49.8037633,15.4749126
closed,1024,medium,chat,other,1st line support,bernard beckley,2023-01-03 16:41:11,2023-01-04 16:41:11,2023-01-03 16:43:11,2023-01-03 16:43:40.942,sla violated,2023-01-03 23:52:18.292,within sla,2023-01-06 00:38:58.704,60.0,5.0,custom software development,tier 1,czech republic,49.8037633,15.4749126
closed,1025,low,chat,bug report,1st line support,sheela cutten,2023-01-03 04:50:04,2023-01-04 04:50:04,2023-01-03 04:52:04,2023-01-03 04:50:05.187,within sla,2023-01-07 13:17:12.368,sla violated,2023-01-09 05:37:59.166,3.0,3.0,custom software development,tier 1,poland,52.536273,19.050639
closed,1026,low,chat,bug report,1st line support,nicola wane,2023-01-04 10:49:27,2023-01-05 10:49:27,2023-01-04 10:51:27,2023-01-04 10:50:41.566,within sla,2023-01-04 23:37:37.290,within sla,2023-01-05 12:53:53.016,2.0,4.0,ready to use software,tier 1,bulgaria,42.7249925,25.4833039
resolved,1027,low,chat,training request,1st line support,bernard beckley,2023-01-04 07:27:56,2023-01-05 07:27:56,2023-01-04 07:29:56,2023-01-04 07:28:51.784,within sla,2023-01-05 04:41:40.506,within sla,2023-01-05 04:41:40.506,3.0,,training and consulting services,tier 1,united kingdom,55.378052,-3.435973
resolved,1028,low,chat,bug report,1st line support,kristos westoll,2023-01-04 21:46:12,2023-01-05 21:46:12,2023-01-04 21:48:12,2023-01-04 21:46:51.236,within sla,2023-01-05 13:28:20.309,within sla,2023-01-05 13:28:20.309,2.0,,ready to use software,tier 1,bulgaria,42.7249925,25.4833039
closed,1029,medium,chat,feature request,1st line support,bernard beckley,2023-01-04 09:12:41,2023-01-05 09:12:41,2023-01-04 09:14:41,2023-01-04 09:13:35.162,within sla,2023-01-05 07:45:18.346,within sla,2023-01-06 23:18:19.761,60.0,5.0,custom software development,tier 1,germany,51.165691,10.451526
closed,1030,medium,chat,feature request,1st line support,connor danielovitch,2023-01-04 19:36:58,2023-01-05 19:36:58,2023-01-04 19:38:58,2023-01-04 19:37:55.723,within sla,2023-01-05 02:24:20.008,within sla,2023-01-11 06:16:49.063,5.0,4.0,ready to use software,tier 1,germany,51.165691,10.451526
in progress,1031,low,email,feature request,1st line support,kristos westoll,2023-01-04 18:08:24,2023-01-06 18:08:24,2023-01-04 19:08:24,2023-01-04 18:13:04.107,within sla,,sla violated,,4.0,,ready to use software,tier 1,united kingdom,55.378052,-3.435973
resolved,1032,low,email,product setup,2nd line support,heather urry,2023-01-04 12:47:17,2023-01-06 12:47:17,2023-01-04 13:47:17,2023-01-04 13:20:44.142,within sla,2023-01-05 07:54:03.448,within sla,2023-01-05 07:54:03.448,2.0,,other,tier 2,germany,51.165691,10.451526
in progress,1034,low,chat,other,1st line support,connor danielovitch,2023-01-04 19:06:20,2023-01-05 19:06:20,2023-01-04 19:08:20,2023-01-04 19:07:35.320,within sla,,sla violated,,9.0,,training and consulting services,tier 1,germany,51.165691,10.451526
