Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude,Actual_First_Response_Duration,Actual_First_Response_Duration_Minutes,Actual_Resolution_Duration,Actual_Resolution_Duration_Minutes,Actual_Ticket_Lifecycle_Duration,Actual_Ticket_Lifecycle_Duration_Minutes,Created_Day_of_Week_Num,Created_Day_of_Week_Name,Created_Hour_of_Day,Created_Month_Num,Created_Month_Name,Created_Year,FirstResponse_Day_of_Week_Name,FirstResponse_Hour_of_Day,Resolution_Day_of_Week_Name,Resolution_Hour_of_Day,First_Response_SLA_Met,Resolution_SLA_Met
closed,1012,low,email,feature request,1st line support,kristos westoll,2023-01-02 00:58:36,2023-01-04 00:58:36,2023-01-02 01:58:36,2023-01-02 01:03:17.432,within sla,2023-01-04 00:31:51.694,within sla,2023-01-04 04:02:59.013,1.0,3.0,custom software development,tier 1,republic of ireland,53.094024,-8.019675,0 days 00:04:41.432000,4.690533333333334,1 days 23:33:15.694000,2853.2615666666666,2 days 03:04:23.013000,3064.38355,0,Monday,0,1,January,2023,Monday,1.0,Wednesday,0.0,1,1
in progress,1013,high,phone,product setup,2nd line support,adolpho messingham,2023-01-02 07:27:25,2023-01-04 07:27:25,2023-01-02 07:29:25,2023-01-02 07:27:43.231,within sla,,sla violated,,3.0,,other,tier 2,italy,43.036776,12.678565,0 days 00:00:18.231000,0.30385,,,,,0,Monday,7,1,January,2023,Monday,7.0,,,1,0
resolved,1014,low,chat,purchasing and invoicing,1st line support,bernard beckley,2023-01-02 06:59:04,2023-01-03 06:59:04,2023-01-02 07:01:04,2023-01-02 06:59:57.471,within sla,2023-01-02 22:45:32.974,within sla,2023-01-02 22:45:32.974,2.0,,custom software development,tier 1,austria,47.6964719,13.3457347,0 days 00:00:53.471000,0.8911833333333333,0 days 15:46:28.974000,946.4829,0 days 15:46:28.974000,946.4829,0,Monday,6,1,January,2023,Monday,6.0,Monday,22.0,1,1
closed,1015,medium,email,pricing and licensing,1st line support,connor danielovitch,2023-01-03 03:09:39,2023-01-05 03:09:39,2023-01-03 04:09:39,2023-01-03 07:09:15.835,sla violated,2023-01-04 14:32:34.979,within sla,2023-01-08 04:24:54.771,10.0,4.0,ready to use software,tier 1,spain,39.67337,-4.767726,0 days 03:59:36.835000,239.61391666666665,1 days 11:22:55.979000,2122.9329833333336,5 days 01:15:15.771000,7275.26285,1,Tuesday,3,1,January,2023,Tuesday,7.0,Wednesday,14.0,0,1
closed,1016,low,email,product setup,1st line support,kristos westoll,2023-01-03 00:03:58,2023-01-05 00:03:58,2023-01-03 01:03:58,2023-01-03 00:08:01.684,within sla,2023-01-04 12:03:05.986,within sla,2023-01-06 06:05:08.637,1.0,2.0,other,tier 1,austria,47.6964719,13.3457347,0 days 00:04:03.684000,4.0614,1 days 11:59:07.986000,2159.1331,3 days 06:01:10.637000,4681.177283333333,1,Tuesday,0,1,January,2023,Tuesday,0.0,Wednesday,12.0,1,1
closed,1017,low,email,purchasing and invoicing,1st line support,sheela cutten,2023-01-03 14:25:42,2023-01-05 14:25:42,2023-01-03 15:25:42,2023-01-03 14:45:14.430,within sla,2023-01-04 01:55:56.533,within sla,2023-01-10 16:41:07.865,2.0,2.0,ready to use software,tier 1,greece,39.368279,21.863141,0 days 00:19:32.430000,19.5405,0 days 11:30:14.533000,690.2422166666668,7 days 02:15:25.865000,10215.431083333331,1,Tuesday,14,1,January,2023,Tuesday,14.0,Wednesday,1.0,1,1
closed,1018,low,phone,product setup,1st line support,kristos westoll,2023-01-03 15:32:02,2023-01-05 15:32:02,2023-01-03 15:34:02,2023-01-03 15:34:00.278,within sla,2023-01-05 03:51:37.031,within sla,2023-01-07 21:52:35.202,2.0,3.0,ready to use software,tier 1,republic of ireland,53.094024,-8.019675,0 days 00:01:58.278000,1.9713,1 days 12:19:35.031000,2179.58385,4 days 06:20:33.202000,6140.553366666666,1,Tuesday,15,1,January,2023,Tuesday,15.0,Thursday,3.0,1,1
resolved,1019,medium,chat,pricing and licensing,2nd line support,michele whyatt,2023-01-03 00:38:48,2023-01-04 00:38:48,2023-01-03 00:40:48,2023-01-03 00:39:30.256,within sla,2023-01-05 12:47:55.793,sla violated,2023-01-05 12:47:55.793,2.0,,training and consulting services,tier 2,poland,52.536273,19.050639,0 days 00:00:42.256000,0.7042666666666667,2 days 12:09:07.793000,3609.1298833333335,2 days 12:09:07.793000,3609.1298833333335,1,Tuesday,0,1,January,2023,Tuesday,0.0,Thursday,12.0,1,0
resolved,1020,medium,chat,product setup,1st line support,kristos westoll,2023-01-03 09:37:54,2023-01-04 09:37:54,2023-01-03 09:39:54,2023-01-03 09:41:55.452,sla violated,2023-01-03 20:31:37.896,within sla,2023-01-03 20:31:37.896,6.0,,other,tier 1,germany,51.165691,10.451526,0 days 00:04:01.452000,4.0242,0 days 10:53:43.896000,653.7316,0 days 10:53:43.896000,653.7316,1,Tuesday,9,1,January,2023,Tuesday,9.0,Tuesday,20.0,0,1
closed,1021,low,email,product setup,1st line support,bernard beckley,2023-01-03 09:27:35,2023-01-05 09:27:35,2023-01-03 10:27:35,2023-01-03 10:24:48.183,within sla,2023-01-04 10:16:32.492,within sla,2023-01-07 20:25:29.487,1.0,4.0,training and consulting services,tier 1,czech republic,49.8037633,15.4749126,0 days 00:57:13.183000,57.21971666666666,1 days 00:48:57.492000,1488.9582,4 days 10:57:54.487000,6417.908116666667,1,Tuesday,9,1,January,2023,Tuesday,10.0,Wednesday,10.0,1,1
